Cod_setor,Situacao_setor,V001,V109,V110
250180705000068,1,301,42,MULHER
250180705000069,1,230,37,MULHER
250180705000070,1,329,0,MULHER
250180705000071,1,316,56,MULHER
250180705000072,1,251,0,MULHER
250180705000073,1,194,193,MULHER
250180705000074,1,247,264,HOMEM
250180705000075,1,136,133,MULHER
250180705000076,1,86,151,HOMEM
250180705000077,1,162,0,MULHER
250180705000078,1,190,20,MULHER
250180705000079,1,233,220,MULHER
250180705000080,1,179,278,HOMEM
250180705000081,1,12,0,MULHER
250180705000082,1,148,0,MULHER
250180705000083,1,7,19,HOMEM
250180705000085,1,208,0,MULHER
250180705000086,1,78,0,MULHER
250180705000087,1,55,0,MULHER
250180705000088,1,161,1,MULHER
250180705000089,1,227,0,MULHER
250180705000091,1,176,0,MULHER
250180705000092,8,249,0,MULHER
250180705000094,1,180,0,MULHER
250180705000095,1,117,0,MULHER
250180705000096,1,126,0,MULHER
250180705000097,1,103,0,MULHER
250180705000098,1,266,4,MULHER
250180705000099,1,202,0,MULHER
250180705000100,1,162,29,MULHER
250180705000101,1,227,223,MULHER
250180705000102,1,246,0,MULHER
250180705000103,1,205,0,MULHER
250180705000104,1,180,0,MULHER
250180705000105,1,49,0,MULHER
250180705000106,1,199,0,MULHER
250180705000107,1,266,0,MULHER
250180705000108,1,161,0,MULHER
250180705000109,1,184,0,MULHER
250180705000110,1,203,0,MULHER
250180705000111,1,158,62,MULHER
250180705000112,1,188,12,MULHER
250180705000113,1,139,0,MULHER
250180705000114,1,141,0,MULHER
250180705000115,1,201,302,HOMEM
250180705000116,1,157,0,MULHER
250180705000117,1,155,275,HOMEM
250180705000118,1,87,24,MULHER
250180705000119,1,193,0,MULHER
250180705000120,1,321,0,MULHER
250180705000121,1,342,486,HOMEM
250180705000122,1,210,0,MULHER
250180705000123,1,213,0,MULHER
250180705000124,1,162,0,MULHER
250180705000125,1,163,0,MULHER
250180705000126,1,326,0,MULHER
250180705000127,1,251,0,MULHER
250180705000128,1,573,0,MULHER
250180705000129,1,200,0,MULHER
250180705000130,1,37,0,MULHER
250180705000131,1,8,0,MULHER
250180705000132,1,90,0,MULHER
250180705000133,1,75,0,MULHER
250180705000134,1,13,0,MULHER
250190605000001,1,224,0,MULHER
250190605000002,1,239,0,MULHER
250190605000003,1,313,0,MULHER
250190605000004,1,220,0,MULHER
250190605000005,1,183,0,MULHER
250190605000006,1,299,120,MULHER
250190605000007,1,266,3,MULHER
250190605000008,1,273,0,MULHER
250190605000009,1,277,0,MULHER
250190605000010,1,269,0,MULHER
250190605000011,1,162,0,MULHER
250190605000012,1,352,0,MULHER
250190605000013,1,303,0,MULHER
250190605000014,8,171,0,MULHER
250190605000015,8,72,0,MULHER
250190605000016,8,82,10,MULHER
250190605000017,8,196,0,MULHER
250190605000018,1,124,0,MULHER
250190605000019,1,207,90,MULHER
250190605000020,1,132,3,MULHER
250190610000001,1,272,0,MULHER
250190610000002,8,201,55,MULHER
250190610000003,8,79,0,MULHER
250190610000004,1,264,1,MULHER
250200305000001,1,297,0,MULHER
250200305000002,1,185,0,MULHER
250200305000003,1,197,0,MULHER
250200305000004,1,243,0,MULHER
250200305000005,8,20,1,MULHER
250200305000006,8,38,0,MULHER
250200305000007,8,68,0,MULHER
250200305000008,8,109,0,MULHER
250200305000009,8,92,0,MULHER
250200305000010,8,33,0,MULHER
250200305000011,8,41,0,MULHER
250200305000012,8,45,0,MULHER
250200305000013,8,55,0,MULHER
250200305000014,1,229,0,MULHER
250200305000015,1,132,9,MULHER
250200305000016,1,190,0,MULHER
250205205000001,1,251,0,MULHER
250205205000002,8,199,0,MULHER
250205205000003,8,154,0,MULHER
250205205000004,5,100,0,MULHER
250205205000005,5,99,0,MULHER
250210205000001,1,359,0,MULHER
250210205000002,1,311,2,MULHER
250210205000003,1,314,4,MULHER
250210205000004,8,187,0,MULHER
250210205000005,8,165,4,MULHER
250210205000006,8,112,0,MULHER
250210205000007,8,30,0,MULHER
250210205000008,5,18,0,MULHER
250215105000001,1,231,0,MULHER
250215105000002,1,202,3,MULHER
250215105000003,8,186,0,MULHER
250215105000004,8,260,0,MULHER
250215105000005,8,144,0,MULHER
250215105000006,8,145,0,MULHER
250215105000007,1,253,0,MULHER
250215105000008,1,222,0,MULHER
250215105000009,4,94,0,MULHER
250220105000001,1,305,0,MULHER
250220105000002,8,106,0,MULHER
250220105000003,8,98,0,MULHER
250220105000004,5,190,0,MULHER
250230005000001,1,204,0,MULHER
250230005000002,1,235,0,MULHER
250230005000003,8,43,0,MULHER
250230005000004,8,90,0,MULHER
250230005000005,8,104,2,MULHER
250230005000006,5,109,0,MULHER
250230005000007,8,118,2,MULHER
250230005000008,8,67,0,MULHER
250230005000009,8,190,0,MULHER
250230005000010,8,152,0,MULHER
250230005000011,1,205,0,MULHER
250240905000001,1,249,30,MULHER
250240905000002,1,343,0,MULHER
250240905000003,1,239,9,MULHER
250240905000004,1,211,0,MULHER
250240905000005,1,353,12,MULHER
250240905000006,8,166,0,MULHER
250240905000007,8,73,0,MULHER
250240905000008,8,85,0,MULHER
250240905000009,8,90,0,MULHER
250240905000010,8,112,0,MULHER
250240905000011,1,229,2,MULHER
250240905000012,1,205,0,MULHER
250240930000001,1,196,0,MULHER
250240930000002,8,150,0,MULHER
250240930000003,8,113,0,MULHER
250250805000001,1,249,0,MULHER
250250805000002,1,269,0,MULHER
250250805000003,1,160,35,MULHER
250250805000004,1,213,0,MULHER
250250805000005,1,226,2,MULHER
250250805000006,1,312,0,MULHER
250250805000007,1,217,0,MULHER
250250805000008,1,293,0,MULHER
250250805000009,1,283,0,MULHER
250250805000010,1,304,254,MULHER
250250805000011,1,316,13,MULHER
250250805000012,1,189,58,MULHER
250250805000013,8,253,0,MULHER
250250805000014,8,171,0,MULHER
250250805000015,8,106,31,MULHER
250250805000016,8,224,0,MULHER
250250805000017,8,100,0,MULHER
250250805000018,8,109,0,MULHER
250250805000019,1,207,0,MULHER
250250805000020,1,156,2,MULHER
250250805000021,4,41,0,MULHER
250250805000022,5,58,0,MULHER
